t,survival_rate,expected_benefit,net_single_premium
0,1.0,0.0,61788.98413836064
1,0.97,3000.0,62097.92905905243
2,0.9409,2910.0,59393.418704347685
3,0.912673,2822.7,56765.83579786942
4,0.8852928099999999,2738.019,54212.85147685876
5,0.8587340256999999,2655.8784299999998,51732.20663924305
6,0.8329720049289999,2576.2020770999998,49321.70985028926
7,0.8079828447811299,2498.9160147869998,46979.2353120552
8,0.783743359437696,2423.94853434339,44702.72089375454
9,0.7602310586545651,2351.230078313088,42490.166221208194
10,0.7374241268949281,2280.6931759636955,40339.63082360958
11,0.7153014030880802,2212.272380684784,38249.23233588411
12,0.6938423609954378,2145.9042092642408,36217.144754975314
13,0.6730270901655747,2081.5270829863134,34241.596748439624
14,0.6528362774606075,2019.0812704967243,32320.870013780575
15,0.6332511891367892,1958.5088323818222,30453.297687000264
16,0.6142536534626856,1899.7535674103676,28637.26279889153
17,0.595826043858805,1842.7609603880567,26871.196777638565
18,0.5779512625430409,1787.4781315764149,25153.577996336757
19,0.5606127246667496,1733.8537876291225,23482.93036408414
20,0.5437943429267471,1681.838174000249,21857.82195933729
21,0.5274805126389447,1631.3830287802414,20276.863704263724
22,0.5116560972597763,1582.441537916834,18738.7080788609
23,0.496306414341983,1534.968291779329,17242.047873648782
24,0.48141722191172354,1488.919243025949,15785.614979778798
25,0.4669747052543718,1444.2516657351705,14368.179215436612
26,0.4529654640967406,1400.9241157631154,12988.547187449947
27,0.4393765001738384,1358.8963922902217,11645.561187045265
28,0.42619520516862325,1318.129500521515,10338.098118728816
29,0.4134093490135645,1278.5856155058696,9065.068461298337
30,0.4010070685431576,1240.2280470406934,7825.415260021429
31,0.38897685648686287,1203.0212056294727,6618.113149045639
32,0.377307550792257,1166.9305694605887,5442.167403133246
33,0.36598832426848926,1131.9226523767709,4296.613017841019
34,0.35500867454043455,1097.9649728054676,3180.5138172915695
35,0.3443584143042215,1065.0260236213037,2092.961588708532
36,0.3340276618750948,1033.0752429126644,1033.0752429126644
37,0.32400683201884195,0.0,0.0
38,0.3142866270582767,0.0,0.0
39,0.3048580282465284,0.0,0.0
40,0.2957122873991326,0.0,0.0
41,0.2868409187771586,0.0,0.0
42,0.27823569121384384,0.0,0.0
43,0.2698886204774285,0.0,0.0
44,0.26179196186310566,0.0,0.0
45,0.2539382030072125,0.0,0.0
46,0.2463200569169961,0.0,0.0
47,0.23893045520948622,0.0,0.0
48,0.23176254155320164,0.0,0.0
49,0.2248096653066056,0.0,0.0
50,0.21806537534740741,0.0,0.0
51,0.2115234140869852,0.0,0.0
52,0.20517771166437562,0.0,0.0
53,0.19902238031444436,0.0,0.0
54,0.19305170890501103,0.0,0.0
55,0.1872601576378607,0.0,0.0
56,0.18164235290872485,0.0,0.0
57,0.1761930823214631,0.0,0.0
58,0.17090728985181922,0.0,0.0
59,0.16578007115626464,0.0,0.0
60,0.1608066690215767,0.0,0.0
61,0.1559824689509294,0.0,0.0
62,0.1513029948824015,0.0,0.0
63,0.14676390503592945,0.0,0.0
64,0.14236098788485158,0.0,0.0
65,0.13809015824830603,0.0,0.0
66,0.13394745350085685,0.0,0.0
67,0.12992902989583113,0.0,0.0
68,0.1260311589989562,0.0,0.0
69,0.12225022422898751,0.0,0.0
70,0.11858271750211788,0.0,0.0
71,0.11502523597705434,0.0,0.0
72,0.1115744788977427,0.0,0.0
73,0.10822724453081042,0.0,0.0
74,0.10498042719488611,0.0,0.0
75,0.10183101437903952,0.0,0.0
76,0.09877608394766833,0.0,0.0
77,0.09581280142923829,0.0,0.0
78,0.09293841738636113,0.0,0.0
79,0.09015026486477029,0.0,0.0
80,0.08744575691882718,0.0,0.0
81,0.08482238421126237,0.0,0.0
82,0.0822777126849245,0.0,0.0
83,0.07980938130437676,0.0,0.0
84,0.07741509986524546,0.0,0.0
85,0.0750926468692881,0.0,0.0
86,0.07283986746320946,0.0,0.0
87,0.07065467143931317,0.0,0.0
88,0.06853503129613378,0.0,0.0
89,0.06647898035724976,0.0,0.0
90,0.06448461094653227,0.0,0.0
91,0.06255007261813629,0.0,0.0
92,0.0606735704395922,0.0,0.0
93,0.05885336332640443,0.0,0.0
94,0.057087762426612294,0.0,0.0
95,0.05537512955381393,0.0,0.0
96,0.053713875667199505,0.0,0.0
97,0.05210245939718352,0.0,0.0
98,0.05053938561526801,0.0,0.0
99,0.049023204046809966,0.0,0.0
100,0.04755250792540567,0.0,0.0
101,0.0461259326876435,0.0,0.0
102,0.04474215470701419,0.0,0.0
103,0.04339989006580376,0.0,0.0
104,0.042097893363829644,0.0,0.0
105,0.040834956562914755,0.0,0.0
106,0.03960990786602731,0.0,0.0
107,0.03842161063004649,0.0,0.0
108,0.03726896231114509,0.0,0.0
109,0.03615089344181074,0.0,0.0
110,0.03506636663855641,0.0,0.0
111,0.03401437563939972,0.0,0.0
112,0.03299394437021773,0.0,0.0
113,0.032004126039111194,0.0,0.0
114,0.031044002257937856,0.0,0.0
115,0.03011268219019972,0.0,0.0
116,0.029209301724493725,0.0,0.0
117,0.028333022672758914,0.0,0.0
118,0.027483031992576144,0.0,0.0
119,0.026658541032798858,0.0,0.0
120,0.02585878480181489,0.0,0.0
