t,id,survival_rate,expected_benefit,actuarial_present_value
0,1,1.0,0.0,162420.66570328112
1,1,0.996,2000.0,162907.92770039095
2,1,0.992016,1992.0,161390.6514834921
3,1,0.988047936,1984.032,159876.84743794258
4,1,0.984095744256,1976.0958719999999,158366.49388425637
5,1,0.980159361278976,1968.191488512,156859.56920629312
6,1,0.97623872383386,1960.318722557952,155356.05185093443
7,1,0.9723337689385245,1952.47744766772,153855.9203277616
8,1,0.9684444338627705,1944.667537877049,152359.15320873415
9,1,0.9645706561273194,1936.8888677255409,150865.72912786965
10,1,0.9607123735028101,1929.1413122546387,149375.62678092453
11,1,0.9568695240087989,1921.4247470056202,147888.82492507587
12,1,0.9530420459127636,1913.7390480175977,146405.30237860442
13,1,0.9492298777291126,1906.0840918255274,144925.03802057856
14,1,0.9454329582181962,1898.4597554582251,143448.01079053927
15,1,0.9416512263853234,1890.8659164363924,141974.19968818626
16,1,0.9378846214797821,1883.3024527706468,140503.5837730651
17,1,0.934133082993863,1875.7692429595643,139036.14216425532
18,1,0.9303965506618875,1868.266165987726,137571.8540400596
19,1,0.92667496445924,1860.793101323775,136110.69863769406
20,1,0.922968264601403,1853.3499289184801,134652.6552529794
21,1,0.9192763915429975,1845.936529202806,133197.7032400331
22,1,0.9155992859768255,1838.5527830859949,131745.82201096276
23,1,0.9119368888329182,1831.198571953651,130296.99103556038
24,1,0.9082891412775865,1823.8737776658365,128851.18984099754
25,1,0.9046559847124762,1816.578282555173,127408.39801152168
26,1,0.9010373607736263,1809.3119694249524,125968.5951881534
27,1,0.8974332113305318,1802.0747215472525,124531.76106838461
28,1,0.8938434784852096,1794.8664226610636,123097.87540587786
29,1,0.8902681045712688,1787.6869569704193,121666.91801016642
30,1,0.8867070321529837,1780.5362091425377,120238.86874635558
31,1,0.8831602040243718,1773.4140643059675,118813.70753482467
32,1,0.8796275632082743,1766.3204080487435,117391.41435093025
33,1,0.8761090529554412,1759.2551264165486,115971.96922471013
34,1,0.8726046167436194,1752.2181059108823,114555.35224058844
35,1,0.8691141982766449,1745.2092334872389,113141.54353708158
36,1,0.8656377414835383,1738.22839655329,111730.52330650511
37,1,0.8621751905176042,1731.2754829670766,110322.27179468167
38,1,0.8587264897555338,1724.3503810352083,108916.76930064973
39,1,0.8552915837965116,1717.4529795110675,107513.99617637334
40,1,0.8518704174613255,1710.5831675930233,106113.93282645284
41,1,0.8484629357914802,1703.740834922651,104716.55970783638
42,1,0.8450690840483143,1696.9258715829606,103321.85732953246
43,1,0.841688807712121,1690.1381680966285,101929.80625232332
44,1,0.8383220524812725,1683.3776154242419,100540.38708847936
45,1,0.8349687642713474,1676.6441049625448,99153.58050147427
46,1,0.8316288892142619,1669.9375285426947,97769.36720570124
47,1,0.8283023736574049,1663.2577784285238,96387.72796619001
48,1,0.8249891641627752,1656.6047473148099,95008.64359832475
49,1,0.8216892075061242,1649.9783283255504,93632.09496756297
50,1,0.8184024506760996,1643.3784150122483,92258.0629891551
51,1,0.8151288408733952,1636.8049013521993,90886.52862786526
52,1,0.8118683255099016,1630.2576817467905,89517.4728976926
53,1,0.8086208522078621,1623.7366510198033,88150.87686159363
54,1,0.8053863687990306,1617.2417044157241,86786.72163120554
55,1,0.8021648233238344,1610.7727375980612,85424.98836657018
56,1,0.798956164030539,1604.3296466476688,84065.65827585902
57,1,0.7957603393744169,1597.9123280610781,82708.71261509896
58,1,0.7925772980169192,1591.520678748834,81354.132687899
59,1,0.7894069888248515,1585.1545960338385,80001.8998451776
60,1,0.7862493608695521,1578.813977649703,78651.99548489117
61,1,0.7831043634260739,1572.4987217391042,77304.40105176318
62,1,0.7799719459723696,1566.208726852148,75959.09803701415
63,1,0.7768520581884801,1559.9438919447393,74616.06797809248
64,1,0.7737446499557262,1553.7041163769602,73275.29245840617
65,1,0.7706496713559033,1547.4892999114525,71936.75310705528
66,1,0.7675670726704797,1541.2993427118067,70600.43159856525
67,1,0.7644968043797978,1535.1341453409595,69266.309652621
68,1,0.7614388171622787,1528.9936087595956,67934.36903380188
69,1,0.7583930618936295,1522.8776343245574,66604.5915513174
70,1,0.755359489646055,1516.7861237872592,65276.959058743814
71,1,0.7523380516874708,1510.7189792921101,63951.453453761416
72,1,0.7493286994807209,1504.6761033749417,62628.0566778927
73,1,0.746331384682798,1498.6573989614417,61306.7507162413
74,1,0.7433460591440668,1492.662769365596,59987.517597231694
75,1,0.7403726749074906,1486.6921182881335,58670.339392349684
76,1,0.7374111842078607,1480.7453498149812,57355.19821588373
77,1,0.7344615394710292,1474.8223684157213,56042.07622466694
78,1,0.731523693313145,1468.9230789420585,54730.955617819964
79,1,0.7285975985398925,1463.04738662629,53421.81863649453
80,1,0.725683208145733,1457.195197079785,52114.64756361784
81,1,0.72278047531315,1451.3664162914658,50809.42472363766
82,1,0.7198893534118974,1445.5609506263002,49506.13248226823
83,1,0.7170097959982499,1439.778706823795,48204.75324623685
84,1,0.7141417568142568,1434.0195919964997,46905.26946303128
85,1,0.7112851897869998,1428.2835136285137,45607.66362064789
86,1,0.7084400490278518,1422.5703795739996,44311.91824734042
87,1,0.7056062888317405,1416.8800980557037,43018.015911369715
88,1,0.7027838636764135,1411.212577663481,41725.93922075394
89,1,0.6999727282217079,1405.567727352827,40435.67082301973
90,1,0.6971728373088211,1399.9454564434157,39147.1934049539
91,1,0.6943841459595858,1394.345674617642,37860.48969235601
92,1,0.6916066093757474,1388.7682919191716,36575.542449791574
93,1,0.6888401829382443,1383.2132187514947,35292.33448034601
94,1,0.6860848222064914,1377.6803658764886,34010.848625379294
