t,calendar_month,t_end,interest_rate,coupon,nominal_value,present_value
0,12.0,114.0,0.0018000000000000002,0.0,0.0,1084.4667540564724
1,1.0,114.0,0.0018000000000000002,0.0,0.0,1086.4187942137742
2,2.0,114.0,0.0018000000000000002,0.0,0.0,1088.374348043359
3,3.0,114.0,0.0018000000000000002,0.0,0.0,1090.3334218698371
4,4.0,114.0,0.0018000000000000002,0.0,0.0,1092.296022029203
5,5.0,114.0,0.0018000000000000002,0.0,0.0,1094.2621548688555
6,6.0,114.0,0.0018000000000000002,30.0,0.0,1096.2318267476196
7,7.0,114.0,0.0018000000000000002,0.0,0.0,1068.1510440357654
8,8.0,114.0,0.0018000000000000002,0.0,0.0,1070.0737159150299
9,9.0,114.0,0.0018000000000000002,0.0,0.0,1071.999848603677
10,10.0,114.0,0.0018000000000000002,0.0,0.0,1073.9294483311637
11,11.0,114.0,0.0018000000000000002,0.0,0.0,1075.86252133816
12,12.0,114.0,0.0018000000000000002,0.0,0.0,1077.7990738765686
13,1.0,114.0,0.0018000000000000002,0.0,0.0,1079.7391122095464
14,2.0,114.0,0.0018000000000000002,0.0,0.0,1081.6826426115238
15,3.0,114.0,0.0018000000000000002,0.0,0.0,1083.6296713682245
16,4.0,114.0,0.0018000000000000002,0.0,0.0,1085.5802047766874
17,5.0,114.0,0.0018000000000000002,0.0,0.0,1087.5342491452855
18,6.0,114.0,0.0018000000000000002,30.0,0.0,1089.491810793747
19,7.0,114.0,0.0018000000000000002,0.0,0.0,1061.3988960531758
20,8.0,114.0,0.0018000000000000002,0.0,0.0,1063.3094140660717
21,9.0,114.0,0.0018000000000000002,0.0,0.0,1065.2233710113908
22,10.0,114.0,0.0018000000000000002,0.0,0.0,1067.1407730792114
23,11.0,114.0,0.0018000000000000002,0.0,0.0,1069.061626470754
24,12.0,114.0,0.0018000000000000002,0.0,0.0,1070.9859373984013
25,1.0,114.0,0.0018000000000000002,0.0,0.0,1072.9137120857185
26,2.0,114.0,0.0018000000000000002,0.0,0.0,1074.844956767473
27,3.0,114.0,0.0018000000000000002,0.0,0.0,1076.7796776896544
28,4.0,114.0,0.0018000000000000002,0.0,0.0,1078.717881109496
29,5.0,114.0,0.0018000000000000002,0.0,0.0,1080.6595732954931
30,6.0,114.0,0.0018000000000000002,30.0,0.0,1082.604760527425
31,7.0,114.0,0.0018000000000000002,0.0,0.0,1054.4994490963745
32,8.0,114.0,0.0018000000000000002,0.0,0.0,1056.397548104748
33,9.0,114.0,0.0018000000000000002,0.0,0.0,1058.2990636913366
34,10.0,114.0,0.0018000000000000002,0.0,0.0,1060.204002005981
35,11.0,114.0,0.0018000000000000002,0.0,0.0,1062.1123692095919
36,12.0,114.0,0.0018000000000000002,0.0,0.0,1064.0241714741692
37,1.0,114.0,0.0018000000000000002,0.0,0.0,1065.9394149828227
38,2.0,114.0,0.0018000000000000002,0.0,0.0,1067.858105929792
39,3.0,114.0,0.0018000000000000002,0.0,0.0,1069.7802505204656
40,4.0,114.0,0.0018000000000000002,0.0,0.0,1071.7058549714025
41,5.0,114.0,0.0018000000000000002,0.0,0.0,1073.634925510351
42,6.0,114.0,0.0018000000000000002,30.0,0.0,1075.5674683762697
43,7.0,114.0,0.0018000000000000002,0.0,0.0,1047.449489819347
44,8.0,114.0,0.0018000000000000002,0.0,0.0,1049.334898901022
45,9.0,114.0,0.0018000000000000002,0.0,0.0,1051.223701719044
46,10.0,114.0,0.0018000000000000002,0.0,0.0,1053.1159043821383
47,11.0,114.0,0.0018000000000000002,0.0,0.0,1055.0115130100262
48,12.0,114.0,0.0018000000000000002,0.0,0.0,1056.9105337334443
49,1.0,114.0,0.0018000000000000002,0.0,0.0,1058.8129726941645
50,2.0,114.0,0.0018000000000000002,0.0,0.0,1060.718836045014
51,3.0,114.0,0.0018000000000000002,0.0,0.0,1062.628129949895
52,4.0,114.0,0.0018000000000000002,0.0,0.0,1064.540860583805
53,5.0,114.0,0.0018000000000000002,0.0,0.0,1066.4570341328558
54,6.0,114.0,0.0018000000000000002,30.0,0.0,1068.376656794295
55,7.0,114.0,0.0018000000000000002,0.0,0.0,1040.2457347765248
56,8.0,114.0,0.0018000000000000002,0.0,0.0,1042.1181770991227
57,9.0,114.0,0.0018000000000000002,0.0,0.0,1043.9939898179011
58,10.0,114.0,0.0018000000000000002,0.0,0.0,1045.8731789995734
59,11.0,114.0,0.0018000000000000002,0.0,0.0,1047.7557507217728
60,12.0,114.0,0.0018000000000000002,0.0,0.0,1049.641711073072
61,1.0,114.0,0.0018000000000000002,0.0,0.0,1051.5310661530036
62,2.0,114.0,0.0018000000000000002,0.0,0.0,1053.423822072079
63,3.0,114.0,0.0018000000000000002,0.0,0.0,1055.319984951809
64,4.0,114.0,0.0018000000000000002,0.0,0.0,1057.2195609247221
65,5.0,114.0,0.0018000000000000002,0.0,0.0,1059.1225561343867
66,6.0,114.0,0.0018000000000000002,30.0,0.0,1061.0289767354286
67,7.0,114.0,0.0018000000000000002,0.0,0.0,1032.8848288935524
68,8.0,114.0,0.0018000000000000002,0.0,0.0,1034.7440215855609
69,9.0,114.0,0.0018000000000000002,0.0,0.0,1036.6065608244148
70,10.0,114.0,0.0018000000000000002,0.0,0.0,1038.472452633899
71,11.0,114.0,0.0018000000000000002,0.0,0.0,1040.34170304864
72,12.0,114.0,0.0018000000000000002,0.0,0.0,1042.2143181141278
73,1.0,114.0,0.0018000000000000002,0.0,0.0,1044.0903038867332
74,2.0,114.0,0.0018000000000000002,0.0,0.0,1045.9696664337293
75,3.0,114.0,0.0018000000000000002,0.0,0.0,1047.85241183331
76,4.0,114.0,0.0018000000000000002,0.0,0.0,1049.73854617461
77,5.0,114.0,0.0018000000000000002,0.0,0.0,1051.6280755577245
78,6.0,114.0,0.0018000000000000002,30.0,0.0,1053.5210060937286
