t,calendar_month,t_end,interest_rate,coupon,nominal_value,present_value
0,12.0,114.0,0.002,0.0,0.0,1063.0450281099095
1,1.0,114.0,0.002,0.0,0.0,1065.1711181661294
2,2.0,114.0,0.002,0.0,0.0,1067.3014604024618
3,3.0,114.0,0.002,0.0,0.0,1069.4360633232668
4,4.0,114.0,0.002,0.0,0.0,1071.5749354499135
5,5.0,114.0,0.002,0.0,0.0,1073.7180853208133
6,6.0,114.0,0.002,30.0,0.0,1075.865521491455
7,7.0,114.0,0.002,0.0,0.0,1047.9572525344379
8,8.0,114.0,0.002,0.0,0.0,1050.053167039507
9,9.0,114.0,0.002,0.0,0.0,1052.153273373586
10,10.0,114.0,0.002,0.0,0.0,1054.2575799203332
11,11.0,114.0,0.002,0.0,0.0,1056.3660950801739
12,12.0,114.0,0.002,0.0,0.0,1058.4788272703342
13,1.0,114.0,0.002,0.0,0.0,1060.595784924875
14,2.0,114.0,0.002,0.0,0.0,1062.7169764947248
15,3.0,114.0,0.002,0.0,0.0,1064.8424104477142
16,4.0,114.0,0.002,0.0,0.0,1066.9720952686098
17,5.0,114.0,0.002,0.0,0.0,1069.106039459147
18,6.0,114.0,0.002,30.0,0.0,1071.2442515380653
19,7.0,114.0,0.002,0.0,0.0,1043.3267400411414
20,8.0,114.0,0.002,0.0,0.0,1045.4133935212237
21,9.0,114.0,0.002,0.0,0.0,1047.5042203082662
22,10.0,114.0,0.002,0.0,0.0,1049.5992287488828
23,11.0,114.0,0.002,0.0,0.0,1051.6984272063805
24,12.0,114.0,0.002,0.0,0.0,1053.8018240607933
25,1.0,114.0,0.002,0.0,0.0,1055.9094277089148
26,2.0,114.0,0.002,0.0,0.0,1058.0212465643326
27,3.0,114.0,0.002,0.0,0.0,1060.1372890574614
28,4.0,114.0,0.002,0.0,0.0,1062.2575636355764
29,5.0,114.0,0.002,0.0,0.0,1064.3820787628476
30,6.0,114.0,0.002,30.0,0.0,1066.5108429203733
31,7.0,114.0,0.002,0.0,0.0,1038.583864606214
32,8.0,114.0,0.002,0.0,0.0,1040.6610323354266
33,9.0,114.0,0.002,0.0,0.0,1042.7423544000976
34,10.0,114.0,0.002,0.0,0.0,1044.827839108898
35,11.0,114.0,0.002,0.0,0.0,1046.9174947871159
36,12.0,114.0,0.002,0.0,0.0,1049.0113297766902
37,1.0,114.0,0.002,0.0,0.0,1051.1093524362436
38,2.0,114.0,0.002,0.0,0.0,1053.211571141116
39,3.0,114.0,0.002,0.0,0.0,1055.3179942833983
40,4.0,114.0,0.002,0.0,0.0,1057.4286302719652
41,5.0,114.0,0.002,0.0,0.0,1059.543487532509
42,6.0,114.0,0.002,30.0,0.0,1061.6625745075742
43,7.0,114.0,0.002,0.0,0.0,1033.7258996565893
44,8.0,114.0,0.002,0.0,0.0,1035.7933514559024
45,9.0,114.0,0.002,0.0,0.0,1037.8649381588143
46,10.0,114.0,0.002,0.0,0.0,1039.940668035132
47,11.0,114.0,0.002,0.0,0.0,1042.0205493712022
48,12.0,114.0,0.002,0.0,0.0,1044.1045904699447
49,1.0,114.0,0.002,0.0,0.0,1046.1927996508846
50,2.0,114.0,0.002,0.0,0.0,1048.2851852501865
51,3.0,114.0,0.002,0.0,0.0,1050.3817556206868
52,4.0,114.0,0.002,0.0,0.0,1052.4825191319283
53,5.0,114.0,0.002,0.0,0.0,1054.587484170192
54,6.0,114.0,0.002,30.0,0.0,1056.6966591385326
55,7.0,114.0,0.002,0.0,0.0,1028.7500524568097
56,8.0,114.0,0.002,0.0,0.0,1030.8075525617235
57,9.0,114.0,0.002,0.0,0.0,1032.869167666847
58,10.0,114.0,0.002,0.0,0.0,1034.9349060021807
59,11.0,114.0,0.002,0.0,0.0,1037.0047758141852
60,12.0,114.0,0.002,0.0,0.0,1039.0787853658137
61,1.0,114.0,0.002,0.0,0.0,1041.1569429365454
62,2.0,114.0,0.002,0.0,0.0,1043.2392568224186
63,3.0,114.0,0.002,0.0,0.0,1045.3257353360634
64,4.0,114.0,0.002,0.0,0.0,1047.4163868067355
65,5.0,114.0,0.002,0.0,0.0,1049.511219580349
66,6.0,114.0,0.002,30.0,0.0,1051.6102420195098
67,7.0,114.0,0.002,0.0,0.0,1023.653462503549
68,8.0,114.0,0.002,0.0,0.0,1025.7007694285562
69,9.0,114.0,0.002,0.0,0.0,1027.7521709674133
70,10.0,114.0,0.002,0.0,0.0,1029.8076753093483
71,11.0,114.0,0.002,0.0,0.0,1031.867290659967
72,12.0,114.0,0.002,0.0,0.0,1033.931025241287
73,1.0,114.0,0.002,0.0,0.0,1035.9988872917695
74,2.0,114.0,0.002,0.0,0.0,1038.0708850663532
75,3.0,114.0,0.002,0.0,0.0,1040.147026836486
76,4.0,114.0,0.002,0.0,0.0,1042.227320890159
77,5.0,114.0,0.002,0.0,0.0,1044.3117755319395
